Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress ScoreÂ®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Road Cycling,2024-02-27 11:18:18,false,"Chicago Road Cycling","24.97","789","01:26:06","137","150","3.7","17.4","27.0","417","420","0.00","0.0","0.0","0","84","114","0.0","0","0","0.0","0.0","7006","0","0","0","0:00","68.0","0:00","No","15:00.99","5","75.2","37","22","50","01:25:51","01:29:49","577","623"
Road Cycling,2024-02-26 16:54:08,false,"Chicago Road Cycling","9.87","451","00:35:11","0","0","0.1","16.8","27.2","125","128","0.00","0.0","0.0","0","83","112","0.0","0","0","0.0","0.0","2603","0","0","0","0:00","59.0","0:00","No","16:14.93","2","73.4","--","--","--","00:34:45","00:36:51","579","614"
Road Cycling,2024-02-25 13:57:54,false,"Chicago Road Cycling","24.37","780","01:23:38","137","156","3.6","17.5","26.8","354","371","0.00","0.0","0.0","0","86","115","0.0","0","0","0.0","0.0","6802","0","0","0","0:00","55.4","0:00","No","14:36.51","5","66.2","36","22","50","01:23:04","01:28:03","578","614"
Road Cycling,2024-02-20 15:39:18,false,"Chicago Road Cycling","2.30","76","00:08:07.7","129","151","2.0","17.0","25.8","13","16","0.00","0.0","0.0","0","73","110","0.0","0","0","0.0","0.0","460","0","0","0","0:00","57.2","0:00","No","08:07.69","1","71.6","31","21","40","00:08:01","00:08:21.7","598","608"
Road Cycling,2024-02-20 12:50:51,false,"Chicago Road Cycling","23.15","659","01:28:22","130","155","3.2","15.7","26.9","535","387","0.00","0.0","0.0","0","79","117","0.0","0","0","0.0","0.0","6676","0","0","0","0:00","53.6","0:00","No","12:35.67","5","69.8","33","16","45","01:28:05","01:31:29","583","622"
Road Cycling,2024-02-10 13:49:50,false,"Chicago Road Cycling","2.43","97","00:10:08","0","0","0.1","14.4","20.6","20","26","0.00","0.0","0.0","0","66","97","0.0","0","0","0.0","0.0","534","0","0","0","0:00","41.0","0:00","No","10:07.67","1","50.0","--","--","--","00:10:02","00:10:29","598","616"
Road Cycling,2024-01-19 07:40:45,false,"Mt Pleasant Road Cycling","12.14","343","00:58:57","112","152","2.3","12.4","34.3","492","541","0.00","0.0","0.0","0","62","98","0.0","0","0","0.0","0.0","3097","0","0","0","0:00","48.2","0:00","No","07:10.02","3","55.4","27","14","49","00:58:32","01:07:47","-7","205"
Road Cycling,2024-01-18 14:59:22,false,"Folly Beach Road Cycling","10.46","389","00:35:03","145","155","3.5","17.9","21.5","92","112","0.00","0.0","0.0","0","78","99","0.0","0","0","0.0","0.0","2602","0","0","0","0:00","55.4","0:00","No","01:52.18","3","71.6","41","25","49","00:34:47","00:36:03","26","49"
Road Cycling,2024-01-18 14:57:34,false,"Folly Beach Road Cycling","0.05","2","00:00:21.8","98","100","0.0","8.1","10.1","--","--","0.00","0.0","0.0","0","52","58","0.0","0","0","0.0","0.0","12","0","0","0","0:00","69.8","0:00","No","00:21.81","1","71.6","24","23","24","00:00:21","00:00:21.8","52","54"
Road Cycling,2023-12-08 15:55:42,false,"Chicago Road Cycling","1.09","52","00:04:25.7","0","0","0.0","14.8","24.5","39","46","0.00","0.0","0.0","0","72","92","0.0","0","0","0.0","0.0","255","0","0","0","0:00","55.4","0:00","No","04:25.69","1","68.0","--","--","--","00:04:23","00:04:51.5","593","618"
Road Cycling,2023-12-08 15:54:06,false,"Chicago Road Cycling","0.00","--","00:00:48.4","0","0","0.0","--","--","--","--","0.00","0.0","0.0","0","37","56","0.0","0","0","0.0","0.0","11","0","0","0","0:00","68.0","0:00","No","00:48.36","1","71.6","--","--","--","00:00:00","00:00:55.9","591","597"
Road Cycling,2023-10-29 08:30:35,false,"Thousand Oaks Road Cycling","48.62","1,498","03:32:08","135","169","4.5","13.8","44.7","4,469","4,482","0.00","0.0","0.0","0","79","115","0.0","0","0","0.0","0.0","15534","0","0","0","0:00","59.0","0:00","No","10:47.55","10","73.4","36","20","54","03:31:49","03:43:01","--","1,859"
Road Cycling,2023-10-28 19:02:31,false,"Thousand Oaks Road Cycling","2.92","89","00:10:11","124","145","1.9","17.2","26.4","66","177","0.00","0.0","0.0","0","70","104","0.0","0","0","0.0","0.0","587","0","0","0","0:00","59.0","0:00","No","10:11.49","1","78.8","29","19","37","00:10:09","00:10:37","606","751"
Road Cycling,2023-10-28 17:50:06,false,"Thousand Oaks Road Cycling","0.96","29","00:04:27.9","107","124","0.3","12.9","20.6","36","10","0.00","0.0","0.0","0","60","89","0.0","0","0","0.0","0.0","185","0","0","0","0:00","62.6","0:00","No","04:27.89","1","69.8","27","22","34","00:04:22","00:04:44.9","709","738"
Road Cycling,2023-10-28 16:48:54,false,"Thousand Oaks Road Cycling","2.11","77","00:07:56.5","132","148","2.0","15.9","26.8","135","79","0.00","0.0","0.0","0","70","103","0.0","0","0","0.0","0.0","457","0","0","0","0:00","66.2","0:00","No","07:56.55","1","71.6","32","22","39","00:07:54","00:08:23.5","612","720"
Road Cycling,2023-10-28 16:46:47,false,"Thousand Oaks Road Cycling","0.04","1","00:00:16.2","83","86","0.0","8.5","9.5","--","--","0.00","0.0","0.0","0","41","63","0.0","0","0","0.0","0.0","11","0","0","0","0:00","73.4","0:00","No","00:16.20","1","73.4","20","18","21","00:00:16","00:00:23.4","638","640"
Road Cycling,2023-10-24 09:48:59,false,"Chicago Road Cycling","13.50","460","00:43:30","141","158","3.4","18.6","25.2","233","190","0.00","0.0","0.0","0","79","104","0.0","0","0","0.0","0.0","3392","0","0","0","0:00","68.0","0:00","No","10:40.97","3","80.6","37","21","46","00:43:28","00:50:01","540","631"
Road Cycling,2023-10-21 15:46:17,false,"Chicago Road Cycling","6.62","241","00:22:44","139","155","3.0","17.5","25.0","95","427","0.00","0.0","0.0","0","82","100","0.0","0","0","0.0","0.0","1736","0","0","0","0:00","53.6","0:00","No","05:42.64","2","73.4","36","19","46","00:22:41","00:23:59","583","928"
Road Cycling,2023-10-11 11:05:01,false,"Chicago Road Cycling","27.62","733","01:35:44","129","152","3.2","17.3","25.8","456","453","0.00","0.0","0.0","0","81","101","0.0","0","0","0.0","0.0","7569","0","0","0","0:00","60.8","0:00","No","09:31.62","6","69.8","35","19","47","01:35:38","01:37:29","584","619"
Road Cycling,2023-10-04 14:13:20,false,"Chicago Road Cycling","1.55","60","00:06:46.2","123","141","1.2","13.8","20.7","26","30","0.00","0.0","0.0","0","69","90","0.0","0","0","0.0","0.0","371","0","0","0","0:00","84.2","0:00","No","06:46.20","1","84.2","31","24","37","00:06:43","00:07:13.2","591","610"
